TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
32.1;21;25.57;85.99;59;97;344;47.2;1.33;0.31;880;2040;2400;5510
31.8;21.1;25.09;87.47;63;96;322;75.4;2.22;0.36;1380;2300;2360;7809
28.4;22.5;24.8;88.36;76;96;167;48.2;1.78;0.46;1340;2360;2360;8619
32;20.7;25.67;84.51;57;97;371;12.8;1.33;0.33;1020;2100;2380;6297
31.4;20.4;25.22;85.38;59;96;308;18;1.33;0.25;1280;2300;2380;6744
29.9;21.3;24.1;91.01;67;97;209;100.8;1.78;0.28;1320;2260;2380;7722
31.2;20;24.2;89.12;66;97;203;47.8;2.22;0.31;1060;2400;2400;6737
31.1;21.6;24.84;87.96;57;97;256;63.6;2.22;0.3;920;1960;2400;6172
30.5;20.3;23.51;88.59;59;97;185;108.8;1.78;0.29;1220;2320;2380;7066
31;19.4;23.5;90.89;63;97;153;161;1.78;0.33;1120;2160;2380;6723
30.1;20.5;23.68;90.54;69;97;199;145.6;2.22;0.41;940;2320;2400;8080
29.9;19.1;23.29;91.06;61;97;202;159.2;2.69;0.31;1240;2280;2360;7740
29.3;19.6;23.43;88.35;65;97;241;86.8;11.3;1.4;;;;
30.6;20.7;23.51;88.42;60;97;253;53.6;9.7;1.52;1300;2120;2400;6656
30.3;18.9;23.19;88.33;54;96;241;49.4;8;1.33;1200;2320;2400;6083
31.2;18.6;23.41;83.94;48;97;309;73.2;6.4;1.31;980;2160;2300;5711
30.9;17.4;23.75;81.97;50;96;359;2.6;6.4;1.55;1220;2220;2300;7096
31.2;17.6;24.23;80.85;46;96;337;31.4;9.7;2.03;1120;2080;2380;7070
29.9;16.9;23.46;85.1;51;96;261;52.2;9.7;1.8;1220;2220;2280;6631
31.3;18.4;23.86;84.22;54;97;346;116.6;8;2.01;760;1820;2080;6132
32.6;19;24.21;83.69;51;96;310;96.4;8;1.63;1020;1440;2380;5495
29.9;20.3;23.87;88.21;60;97;250;88.6;11.3;2.36;1120;2260;2320;6490
29.5;19.3;23.41;88.07;61;97;235;179.8;9.7;2.37;980;2060;2300;6910
29.6;18.7;24.34;86.85;61;96;292;56.4;11.3;2.24;1240;2280;2280;7461
31.4;17.6;24.6;79.86;48;96;451;3.4;9.7;2.38;1060;2280;2320;8600
30.9;19.1;24.52;83.35;52;96;324;13.2;6.4;1.58;1520;2280;2320;8674
31.8;21;25.93;84.66;60;97;339;12;8;1.85;1320;2380;2400;7687
31.9;19.2;24.44;84.59;55;96;309;28.4;8;2.04;380;1400;2400;4610
32.6;19.6;24.17;88.16;56;97;298;147.4;8;1.21;1080;1760;2300;5227
32.1;20;25.23;86.46;58;97;327;71.2;9.7;1.58;680;1800;2360;5200
28.6;21.6;24.09;92.41;68;97;174;309.8;9.7;1.52;1120;1760;2240;5219
30.9;21.9;24.67;92.33;66;97;197;345.4;9.7;1.49;1220;2280;2340;5587
29.8;21.3;24.44;91.69;70;98;255;211.2;8;1.01;1740;2460;2380;5289
31.4;20.5;24.57;90.28;63;98;281;102.8;6.4;1.1;1420;2480;2360;5602
30.8;21.2;24.61;90.29;69;98;224;48;6.4;0.86;1720;2440;2400;7062
32;19.9;25.26;88.43;63;98;343;68.8;6.4;1.12;1820;2540;2400;7528
32.1;20.9;24.86;89.17;65;97;264;101.4;12.9;1.19;1240;2320;2400;5156
31.6;20.2;25.02;90.43;64;98;279;138;6.4;1.11;1080;2040;2400;5024
31.5;21.2;24.84;89.38;65;98;277;94.2;8;1.33;1440;2100;2380;5647
30.7;20.8;24.61;89.3;63;99;283;2.2;8;1.19;1460;2320;2380;5944
30.8;20.9;23.85;91.85;68;98;216;86;8;1.1;1120;2140;2400;5494
31.6;20;24.82;88.63;64;98;296;60.2;8;1.24;1220;2140;2340;6296
31.6;20.3;25.45;85.95;61;98;336;9.4;9.7;1.24;1500;2400;2340;7021
30.8;21.6;24.81;91.2;63;98;212;99;4.8;0.78;1540;2400;2400;7593
31.5;20.7;25.77;86.87;62;97;349;29.2;8;1.37;920;1920;2400;7090
32.1;20.4;24.69;89.77;61;98;270;77.6;17.7;1.27;1460;2240;2400;7811
30.9;20.1;24.33;90.4;65;98;239;29.8;3.2;0.76;1220;2400;2380;8189
31.8;21.2;26.35;82.85;58;98;451;6;4.8;1.29;1500;2320;2400;8339
31.6;20.6;24.85;87.16;58;98;349;42.6;14.5;1.42;1440;2400;2400;8484
32.7;20;25.24;86.09;56;98;370;128.6;9.7;1.16;1480;2580;2380;8275
32.5;20.1;25.28;85.97;60;98;371;37;8;1.08;1240;2280;2400;6915
31.8;20.7;24.92;88.34;63;98;324;56.6;6.4;1.12;1460;2460;2400;7130
32.6;20.9;25.24;88.53;62;98;324;52;8;1.07;;;;
33.3;20.9;25.92;86.74;57;97;349;33.6;8;0.99;1320;2360;2400;7338
32.6;19.7;24.88;87.82;56;98;326;79.2;11.3;1.18;1220;2460;2400;5096
31.9;19.1;24.63;86.97;60;97;310;30.2;6.4;1.04;980;2460;2400;5096
31.1;21.3;24.86;90.51;66;98;261;88.8;6.4;1.07;1320;2500;2400;5615
29.8;19.8;22.96;90.34;63;98;145;124.2;8;2.61;1560;2600;2400;6037
30.3;20.1;24.38;85.88;66;98;354;1.8;9.7;1.72;1420;2500;2400;6114
31.2;20.4;24.83;91.76;65;99;223;47.8;4.8;0.77;1580;2560;2400;5843
30.7;16.5;24;80.67;51;98;334;10.4;9.7;2;1400;2540;2400;6238
30.3;17.4;23.45;91.74;64;99;242;87.2;12.9;1.2;1120;2440;2400;5807
29.7;19.8;23.58;88.11;64;99;197;175.2;11.3;0.75;1160;2180;2400;5730
28.6;17.7;22.41;93.5;69;99;132;150;8;1.28;1140;2460;2400;5117
29;18.8;23.18;92.08;58;99;188;247.61;1.78;0.44;1680;2340;2400;3716.64
31.3;20.4;23.65;93.62;62;100;193;376.67;1.78;0.28;1260;2020;2380;5503.62
25.1;18.5;20.82;93.99;80;99;92;164.79;1.78;0.66;1320;2320;2400;5704.58
29.8;17.4;22.83;87.12;59;99;234;45.93;2.69;0.53;1000;1900;2340;6412.94
29.7;17.9;22.66;87.88;58;99;213;27.4;2.22;0.42;1360;2320;2400;6861.12
28.4;15.4;22.2;89.4;59;98;193;77.43;1.78;0.34;1480;2600;2400;6801.13
28.1;18.7;22.85;92.18;68;99;179;132.54;2.69;0.48;1480;2560;2380;6857
30.1;18.3;23.82;86.42;61;99;274;45.46;2.22;0.5;1300;2460;2400;6809.27
31.1;18.7;25.45;83.88;59;98;367;1.27;1.33;0.43;1540;2420;2400;7240.44
32;19.1;25.3;83.3;52;98;325;61.96;1.78;0.46;1620;2300;2380;8131.68
31.8;19.2;25.53;84.19;60;98;372;17.25;1.78;0.48;1520;1720;2260;4886.84
30.6;21;25.38;87.23;66;98;274;9.89;1.78;0.34;1440;2440;2380;8718.21
31.2;19.2;24.97;85.88;60;98;313;21.57;2.69;0.44;1500;2420;2400;7555.94
32.2;20.2;24.72;89.26;47;100;251;77.16;2.69;0.39;1000;1740;2100;7026.99
31.7;20.1;25.37;88.43;58;99;286;74.91;1.78;0.37;1140;1940;2220;6487.21
31.5;19.5;24.41;89.27;62;99;264;108.9;1.78;0.36;1960;2400;2400;6810.41
32.6;19.9;25.65;82.33;46;98;414;8.6;2.22;0.4;1360;2260;2400;5809.97
32.2;19.5;25.05;86.75;58;100;328;41;2.22;0.34;1480;2320;2400;5593.78
30.9;21.9;25.31;91.77;69;99;251;58.2;1.78;0.25;1840;2480;2380;6142.23
31.3;21.6;25.32;90.57;66;100;293;133.2;2.22;0.29;1220;1720;2380;5872.62
33.4;20.4;26.39;85.66;57;100;384;56;2.22;0.35;1960;2440;2380;7415.39
31.6;20.9;25.59;90.18;66;100;272;54.6;1.78;0.22;1300;2320;2400;8005.56
31.3;21.9;25.72;89.11;65;100;291;80.6;1.78;0.25;1380;2460;2400;7788.4
33.6;21.9;26.51;86.68;59;99;371;55.2;3.14;0.33;1580;2440;2400;7389.22
31.8;20.7;25.8;87.61;63;100;314;65;1.78;0.29;1460;2580;2400;7522
31.8;21.2;24.96;89.68;62;99;253;80;4.47;0.27;1460;2400;2400;8257.34
33.4;19.8;26.55;83.11;55;100;428;1.2;1.78;0.3;1820;2600;2400;8703.31
32.4;20.4;24.95;88.27;61;100;286;44.8;3.14;0.21;1680;2600;2400;7524.96
32.6;20.7;25.28;87.35;57;98;308;47.2;1.78;0.24;1360;2280;2360;8452.91
31.6;22.3;25.07;92.53;66;100;232;67.6;2.7;0.22;1400;2320;2400;7818.08
30.5;21.2;24.74;91.62;69;100;237;11.8;2.2;0.19;1720;2460;2380;7818.08
30.2;20.3;24.65;91.77;63;100;219;48.6;2.7;0.18;1760;2540;2400;8175.56
31;20.1;24.78;91.02;63;100;285;71.2;3.6;0.22;1640;2440;2400;7559.55
32.9;19.9;25.47;86.4;56;100;337;3.6;2.2;0.24;1440;2260;2320;7233.72
33.3;20.3;25.54;85.48;56;99;351;12.8;2.7;0.32;1440;2380;2400;7684.55
31.8;19.9;25.19;89.25;58;100;299;50.6;2.7;0.26;1600;2240;2400;7410.82
32.1;20.3;24.97;90.73;64;100;265;35;3.6;0.26;1460;2360;2380;7278.43
32.2;20.9;25.12;88.91;52;100;320;39.6;2.7;0.29;1360;2460;2380;6930.56
32.3;20.7;25.12;88.63;58;100;329;76.2;2.2;0.21;1460;2420;2400;8433.83
32.9;20.7;25.54;87.38;56;100;374;110.4;3.1;0.33;1360;1720;2400;8184.27
31.9;20.6;24.76;90.96;62;100;306;91.8;3.6;0.26;1380;2320;2400;9173.29
32.8;21.1;25.07;90.19;59;100;322;120.2;3.6;0.32;1600;2500;2400;9936.79
31.8;20.4;24.22;86.27;56;100;253;80.6;3.6;0.56;1480;2420;2400;7171.3
31.7;21.2;24.1;93.65;56;100;176;117.2;3.1;0.23;1420;2420;2400;6701.13
39.8;20.7;23.35;95.22;59;100;125;254.2;2.2;0.16;1580;2560;2400;5686.49
31;20;24.24;90.63;62;100;220;103;3.1;0.23;1620;2380;2400;5519.12
31.6;19.1;23.56;86.29;57;100;254;77.2;3.1;0.3;1780;2500;2400;5236.17
31.1;18.9;24.47;84.91;59;100;360;1.6;2.2;0.21;1100;2360;2380;5428.02
31.1;18.9;24.28;86.47;60;100;345;30.4;3.1;0.26;1420;2380;2400;5567.14
31.7;18.2;23.91;89.54;53;100;245;234.6;2.7;0.29;1060;2000;2400;4896
30.8;17.1;23.53;85.11;56;100;336;8;2.7;0.27;700;1560;2400;4674.42
30.4;18.5;23.76;91.05;54;100;267;97.4;3.1;0.25;;;;
30.4;18.6;22.8;89.68;61;100;252;66;2.7;0.32;300;1500;2100;4114.78
30.4;17.9;23.55;89.15;57;100;295;79;2.7;0.33;1080;1840;2240;4713.87
29.9;16.7;23.15;91.1;55;100;271;98.8;4;0.48;1420;2400;2280;5716.93
30.7;19.3;24.08;92.94;61;100;243;116.6;2.7;0.36;1680;2360;2320;7334.45
31.4;19.1;24.38;90.24;53;100;284;83.4;3.1;0.33;1460;2400;2400;7695.52
31;16.6;23.75;85.35;48;100;402;30.2;3.6;0.37;1220;2400;2380;7386.56
30.2;17.1;22.7;91.49;56;100;237;68.6;3.6;0.36;1220;2400;2380;7405.18
29.9;16.4;23.08;87.46;50;100;333;28;2.7;0.44;1420;2400;2400;8819.75
29.8;15.8;23.79;87.2;57;100;265;38.6;2.7;0.33;1380;2240;2400;6341.97
30.6;18.3;23.69;88.37;58;100;330;27.6;3.6;0.55;1580;2060;2380;6586.61
30.2;17.4;23.83;87.51;55;100;355;30;3.1;0.44;1280;2380;2380;6967.02
30.6;17.4;24;87.7;56;100;339;8;2.7;0.31;1200;1960;2400;6711.93
30.6;19.2;23.63;92.33;54;100;259;133;2.7;0.33;1240;1840;2380;6116.96
31;18.9;24;87.18;55;100;373;8.8;2.7;0.38;1300;1620;2300;6188.95
30.7;17.3;23.38;82.51;47;97;180;28.2;0.9;0.11;1320;2480;2400;6591.55
31.3;17.9;25.56;86.69;56;100;309;15;3.1;0.27;1600;2600;2400;6595.58
31.3;19.7;24.62;91.89;62;100;285;80.6;3.2;0.23;1540;2360;2400;6651.44
31;18.3;24.8;85.31;56;100;372;2;3.2;0.31;920;2080;2400;5336.9
32.8;20;25.62;88.84;53;100;396;52.6;4.5;0.3;980;1960;2280;5542.53
32.3;21.5;25.42;89.45;58;100;291;16.6;2.2;0.26;560;1860;2380;5061.38
32.2;19.5;24.65;93.03;62;100;246;106.6;2.2;0.2;920;1780;2400;5512.38
30.8;20.4;24.82;91.44;66;100;254;31;2.2;0.2;1420;2340;2360;6765.12
31.3;20.1;24.65;86.87;60;98;183;92.4;2.2;0.12;1740;2440;2400;6600.71
30.9;19.4;24.59;87.48;56;100;182;110.4;1.3;0.13;1700;2460;2400;6988.01
31.7;20.6;25.31;91.63;61;100;183;51.6;1.78;0.24;1400;2560;2400;7000.16
31.4;21.7;25.37;94.43;67;100;133;128.2;1.78;0.3;1600;2560;2400;6904.83
31.5;20.9;25.31;91.1;62;100;158;69.6;1.33;0.14;1520;2480;2400;7051.81
31.2;21.1;24.86;89.49;53;99;162;76.6;0.9;0.09;1300;2540;2400;6654.51
29.8;20.4;24.03;91.34;66;99;148;132;0.9;0.07;1500;2380;2400;6746.94
30.4;18.4;23.83;87.07;59;98;193;92;4.8;0.43;1580;2580;2400;6400.39
31.7;19.3;25.23;85.96;60;99;216;58.4;3.2;0.52;1500;2380;2400;6004.87
30.8;20.8;24.94;86.24;59;98;188;19.6;3.2;0.48;1440;2480;2400;6173.39
31.2;20.4;24.38;89.91;61;98;140;31.8;3.2;0.28;1520;2540;2400;5925.58
31;20.3;24.31;89.82;63;98;152;123;4.8;0.39;1680;2480;2400;6252.81
31.3;19.4;25.07;84.77;57;98;196;6.4;4.8;0.45;1320;2400;2400;5448.18
30.6;19.9;24.33;86.36;62;97;184;32;3.2;0.52;1640;2360;2400;5633.77
30.8;19.4;24.09;86.65;59;98;177;22.4;4.8;0.47;1700;2540;2400;6297.72
31.4;20.2;24.51;88.08;56;98;193;56.4;3.2;0.52;1540;2380;2380;6046.1
31.4;20.5;24.98;85.89;56;99;201;35.2;4.8;0.57;1280;2080;2380;5849.54
31.3;19.6;24.69;87.55;61;98;186;39.8;3.2;0.4;1140;2520;2400;6118.36
31.8;20.3;25;86.43;59;98;197;37;3.2;0.4;1280;2540;2400;6229.29
31.3;21.1;24.94;86.84;60;98;177;39.2;6.4;0.41;1460;2480;2400;8063.78
31.8;19.8;24.83;85.26;56;98;189;12.2;3.2;0.3;1240;2300;2400;6456.47
30.5;20.3;23.91;89.46;61;99;146;62;4.8;0.37;1340;2420;2400;6208.4
30.4;20.1;24.38;90.7;58;100;215;27.8;3.2;0.21;1600;2280;2400;6389.14
31;19.6;23.87;90.72;59;100;211;208;3.2;0.16;1120;2420;2400;6323.6
28.3;18.7;21.99;81.17;55;100;162;9.6;8;0.59;1160;2380;2400;6121.25
29.6;21.7;24.07;96.37;69;100;156;111;2.2;0.1;1200;2080;2400;5560.66
30.6;18.7;23.64;94.71;63;100;197;98.8;3.1;0.21;1260;2140;2380;5194.8
30.5;18.4;24.77;91.94;54;100;258;88.6;2.7;0.19;1140;2180;2280;5830.63
30.8;18.7;24.26;87.19;55;100;298;15;2.7;0.24;1460;2300;2400;5805.16
28.4;18.2;23.08;90.11;71;98;116;70.6;2.7;0.16;940;1560;2400;5381.38
29.9;19;23.31;90.55;61;98;130;77;1.3;0.12;1300;2120;2400;5794.51
29.4;18.5;23.66;88;60;100;304;144.2;2.7;0.37;1120;2040;2400;5833.09
28.9;19.2;23.28;93.24;57;100;235;71.4;3.2;0.42;1260;2060;2340;5545.82
28.9;17.3;22.84;86.19;58;97;140;27.2;4.8;0.41;1320;2060;2380;5704.34
29.5;19;23.35;85.31;57;97;147;9.2;4.8;0.56;1320;2100;2380;6028.19
30;17.4;23.46;85.36;54;100;320;9.6;4.8;0.36;1200;2220;2400;4769.43
31.5;16.9;24.83;81.61;38;100;346;0.2;1.8;0.28;1260;2280;2400;5037.94
30.2;17.1;21.98;91.73;53;100;220;74.8;6.4;0.39;700;1660;2360;4453.95
31.1;18;25.33;90.53;57;100;304;40;3.2;0.31;360;1700;2260;4393.12
31.1;18;24.03;86.08;50;100;312;11.2;2.7;0.41;700;1980;2380;6272.79
31.1;17.3;24.12;88.58;54;100;360;118;2.2;0.29;380;1280;1760;4212.03
31.1;18.2;23.78;88.42;52;100;355;16.8;2.7;0.29;280;1240;1820;4505.83
31.4;19;24.88;85.15;57;100;423;8.8;2.7;0.3;540;1580;2160;5387.04
31.6;20.1;24.62;92.06;57;100;292;82.6;3.6;0.3;1100;2060;2360;6511.51
31.9;20.8;24.71;89.62;59;100;234;32.2;3.2;0.24;980;2260;2400;5528.02
32.7;18.3;25.12;76.37;46;97;277;0.2;3.2;0.51;880;1700;2400;5884.58
32.1;19.4;24.61;81.18;48;97;220;28.6;3.2;0.56;1080;1800;2280;6053.75
30.7;19.2;24.34;85.62;60;97;197;57.4;3.2;0.42;920;1880;2400;6037.56
31.7;20.1;24.38;89.16;63;98;161;100.6;3.2;0.25;1220;2180;2400;6902.11
31.4;21.4;24.87;88.63;63;98;177;126.4;3.2;0.44;980;2160;2400;6628.81
31.3;20.3;24.15;89.46;57;99;157;110.2;4.8;0.33;860;1660;2080;7305.1
31.2;20.6;25.23;85.09;59;98;199;39.4;4.8;0.43;1800;2220;2400;8321.65
31.9;20.3;25.16;83.58;57;96;177;0;4.8;0.4;1280;2120;2400;7847.2
32.7;19.6;25.26;84.92;59;96;186;0;6.4;0.52;1200;2460;2400;7233.91
35.5;20;24.87;86.19;60;99;163;111.8;4.8;0.17;1120;2360;2380;6054.62
31.4;20.7;24.68;88.68;66;99;132;196;0;0;840;1940;2400;5888.17
31.6;21.3;24.77;91.3;65;99;136;176.2;3.2;0.3;1300;2140;2380;7639.26
28.8;19.9;23.51;91.21;71;98;139;144.8;4.8;0.26;1360;2020;2400;5807.78
31;19.7;24.17;85.89;59;98;187;35;3.2;0.41;1520;2400;2400;5924.06
31.3;18.3;24.29;84.81;60;97;199;23.2;3.2;0.34;1420;2580;2400;6147.23
30.5;20.5;24.44;86.88;62;98;193;24;3.2;0.38;1340;2500;2400;5206.26
31;20.6;24.82;84.55;59;98;215;20.8;3.2;0.39;1720;2480;2400;5803.68
31.7;19.2;24.72;84.02;55;97;213;21.6;3.2;0.43;1220;2320;2400;5903.2
31.9;19.7;24.87;83.71;47;97;194;22.4;3.2;0.33;1320;2480;2400;5931.21
30.9;19.4;24.45;85.85;59;98;204;140.8;4.8;0.38;1080;2340;2400;5553.76
31.8;20.3;24.75;85.48;58;100;218;32.8;4.8;0.44;1300;2400;2400;5663.2
30.5;20.4;24.05;88.65;62;98;158;63.6;3.2;0.34;1460;2340;2380;6302.4
30.8;20.2;24.48;87.67;60;99;178;52.6;1.6;0.27;1920;2540;2400;6247.55
31.7;18.4;24.59;85.12;54;98;210;95.6;3.2;0.34;1720;2580;2400;6028.9
30.4;20.4;24.3;87.54;63;97;165;69.8;3.2;0.23;1740;2380;2400;6331.47
30.8;20;24.61;86.94;64;97;173;35;3.2;0.24;1920;2580;2400;6233.52
30.9;20;24;88.72;62;98;143;94.2;3.2;0.17;1620;2460;2400;6060.81
30.5;18.5;23.68;84.19;55;98;167;30.8;6.4;0.45;1660;2520;2400;6167.97
30.9;19.7;24.44;83.26;55;98;175;70.6;6.4;0.67;1620;2360;2400;5683.67
28.4;18.9;22.25;89.97;62;99;85;218.2;4.8;0.74;1440;2480;2400;5728
29.7;18.9;22.67;92.07;65;99;116;187;4.8;0.37;1740;2520;2400;5063.54
30.3;19.1;23.65;91.81;61;100;145;70.2;3.2;0.35;1360;2560;2400;4560.04
30.5;18.6;23.36;87.24;62;99;171;42.8;4.8;0.47;1400;2240;2400;5151.61
29;18;23.06;83.29;56;97;177;5.8;3.2;0.49;1600;2480;2400;5544.24
29;17.4;22.83;86.17;55;98;161;69.8;4.8;0.45;1880;2580;2400;5924.87
29.6;18.7;23.19;89.15;58;98;166;51.8;4.8;0.48;1580;2580;2400;5794.37
27.3;18.4;21.97;91.9;67;99;85;123.8;4.8;0.42;1340;2260;2400;5622.96
28.9;17.6;22.33;87.49;57;99;153;62.4;4.8;0.7;960;1980;2400;5097.85
28.8;18.1;22.85;86.42;56;99;193;50.6;4.8;0.37;1240;2020;2400;6034.53
29.1;16.3;22.91;81.61;51;97;221;16.4;3.2;0.16;1220;1920;2340;5528.68
29.1;16.2;23.11;83.11;47;99;190;3;0;0;900;2060;2280;6097.15
29.4;16.2;22.33;81.06;45;96;219;32.8;4.8;0.08;1160;2480;2380;6920.35
29.9;16.6;23.05;78.93;50;96;246;0.25;0;0;1100;2040;2400;5662.27
28.8;17.9;22.74;87.71;59;99;180;52.28;1.6;0.01;740;2020;2400;5475.96
28.9;17.1;22.99;83.75;60;98;160;6.6;1.6;0;620;1760;2380;5163.47
29.7;16.2;22.74;80.35;41;97;202;0.2;0;0;840;1640;2400;4816.74
30;16.9;23.49;78.81;45;97;229;0.4;0;0;660;1460;1860;4182.14
30.4;16.8;22.86;79.73;49;99;225;7.4;0;0;340;2040;2280;5044.06
29.9;17.5;22.94;86.86;55;100;179;25.8;0;0;560;1700;2100;4604.82
29.4;17.1;23.22;82.29;58;98;219;6.2;0;0;660;1380;2300;4140.02
30.4;17;23.74;80.85;54;99;248;9.6;0;0;340;1440;2060;3870.19
31.1;19.1;23.8;86.76;52;100;184;16;0;0;420;1320;1860;3507.89
29.4;18.7;23.25;90.42;55;100;141;125.8;0;0;480;1520;2060;4213.67
29.4;18.1;23.75;92.37;57;100;160;55.8;0;0;340;1420;2240;3988.96
30.3;17.9;23.57;89.01;59;100;178;5.4;0;0;680;1440;2020;4210
31.2;18.9;24.56;86.79;61;100;326;7.86;4.8;0.58;1080;1960;2240;5874.9
;;;;;;;;;;700;2240;2400;5918.77
30.5;20.2;24.52;92.39;68;100;305;74.92;4.8;0.55;880;2080;2400;6185.93
32;19.9;24.44;90.87;56;100;309;69.56;3.2;0.56;1040;2240;2400;5982.13
31.8;20.8;25.17;92.29;63;100;302;122.16;6.4;0.6;1080;2280;2400;5858.53
30.8;20.3;24.63;93.92;67;100;273;209.2;6.4;0.77;1280;2320;2380;6073.51
31.3;20.7;25.6;90.81;62;100;363;77.42;6.4;0.81;;;;
29.6;20.5;23.99;96.64;74;100;177;44.39;3.2;0.37;;;;
31.1;21;24.67;93.95;69;100;303;44.16;6.4;0.56;;;;
31.1;20.2;24.11;92.49;59;100;266;84.57;4.8;0.55;;;;
29.4;21.1;24.26;94.12;69;100;252;88.61;6.4;0.51;;;;
30.8;20.3;24.32;94.52;68;100;250;205.71;9.7;0.61;;;;
30.7;20.7;24.41;93.44;62;100;275;142.15;8;0.67;;;;
29.9;21.2;24.14;95.99;72;100;207;127.23;4.8;0.35;;;;
31.8;19.9;24.84;90.8;61;100;239;54.03;6.4;0.6;;;;
30.4;19.9;23.78;94.55;62;100;179;88.8;6.4;0.3;;;;
31.4;19.1;24.12;91.97;61;100;203;99.4;3.2;0.28;;;;
31.7;20.1;24.54;92.87;57;100;195;91.4;8;0.35;920;1840;2400;1042.48
31.4;20.4;25.36;88.73;62;100;229;12.6;4.8;0.45;1380;1920;2400;4123
30.1;20.3;24.5;95.33;71;100;150;26;3.2;0.28;1120;1840;2380;4676.68
31.2;20.1;24.61;93.06;64;100;201;43.4;3.2;0.34;1520;1960;2400;5392.52
31.3;20.2;24.22;94.71;62;100;173;107.4;6.4;0.28;1340;2120;2320;5659.74
30.2;20.3;24.18;95.54;61;100;187;144.6;4.8;0.31;1300;2020;2400;6204.29
30.1;20.4;24;97.9;71;100;135;83.4;3.2;0.17;1240;2120;2400;5969.77
30.7;20.6;24.58;96.77;67;100;174;22.6;3.2;0.21;1580;2280;2400;6127.32
